ID, Antenna, Switches, Position, Value, Value decimal
0, 10, 1111, 01, 1111111111111010, -6
1, 10, 1111, 01, 1111111111111101, -3
2, 10, 1111, 01, 1111111111111111, -1
3, 10, 1111, 01, 0000000000000000, 0
4, 10, 1111, 01, 1111111111111101, -3
5, 10, 1111, 01, 1111111111111111, -1
6, 10, 1111, 01, 0000000000000000, 0
7, 10, 1111, 01, 0000000000000001, 1
8, 10, 1111, 01, 0000000000000000, 0
9, 10, 1111, 01, 0000000000000000, 0
10, 10, 1111, 01, 1111111111111111, -1
11, 10, 1111, 01, 0000000000000010, 2
12, 10, 1111, 01, 0000000000000001, 1
13, 10, 1111, 01, 0000000000000001, 1
14, 10, 1111, 01, 0000000000000001, 1
15, 10, 1111, 01, 0000000000000010, 2
16, 10, 1111, 01, 1111111111111111, -1
17, 10, 1111, 01, 0000000000000000, 0
18, 10, 1111, 01, 1111111111111111, -1
19, 10, 1111, 01, 0000000000000000, 0
20, 10, 1111, 01, 0000000000000010, 2
21, 10, 1111, 01, 1111111111111111, -1
22, 10, 1111, 01, 0000000000000000, 0
23, 10, 1111, 01, 0000000000000000, 0
24, 10, 1111, 01, 1111111111111111, -1
25, 10, 1111, 01, 0000000000000010, 2
26, 10, 1111, 01, 0000000000000010, 2
27, 10, 1111, 01, 0000000000000001, 1
28, 10, 1111, 01, 0000000000000001, 1
29, 10, 1111, 01, 0000000000000010, 2
30, 10, 1111, 01, 0000000000000001, 1
31, 10, 1111, 01, 0000000000000000, 0
32, 10, 1111, 01, 0000000000000010, 2
33, 10, 1111, 01, 0000000000000000, 0
34, 10, 1111, 01, 0000000000000000, 0
35, 10, 1111, 01, 1111111111111110, -2
36, 10, 1111, 01, 1111111111111111, -1
37, 10, 1111, 01, 0000000000000000, 0
38, 10, 1111, 01, 0000000000000001, 1
39, 10, 1111, 01, 0000000000000001, 1
40, 10, 1111, 01, 0000000000000010, 2
41, 10, 1111, 01, 0000000000000000, 0
42, 10, 1111, 01, 0000000000000010, 2
43, 10, 1111, 01, 0000000000000010, 2
44, 10, 1111, 01, 0000000000000000, 0
45, 10, 1111, 01, 0000000000000001, 1
46, 10, 1111, 01, 0000000000000000, 0
47, 10, 1111, 01, 0000000000000010, 2
48, 10, 1111, 01, 0000000000000000, 0
49, 10, 1111, 01, 1111111111111111, -1
50, 10, 1111, 01, 0000000000000000, 0
51, 10, 1111, 01, 0000000000000000, 0
52, 10, 1111, 01, 0000000000000001, 1
53, 10, 1111, 01, 1111111111111111, -1
54, 10, 1111, 01, 0000000000000001, 1
55, 10, 1111, 01, 1111111111111111, -1
56, 10, 1111, 01, 0000000000000001, 1
57, 10, 1111, 01, 0000000000000001, 1
58, 10, 1111, 01, 0000000000000010, 2
59, 10, 1111, 01, 0000000000000001, 1
60, 10, 1111, 01, 0000000000000000, 0
61, 10, 1111, 01, 0000000000000001, 1
62, 10, 1111, 01, 0000000000000001, 1
63, 10, 1111, 01, 0000000000000000, 0
64, 10, 1111, 01, 0000000000000000, 0
65, 10, 1111, 01, 0000000000000000, 0
66, 10, 1111, 01, 0000000000000010, 2
67, 10, 1111, 01, 0000000000000001, 1
68, 10, 1111, 01, 0000000000000001, 1
69, 10, 1111, 01, 0000000000000100, 4
70, 10, 1111, 01, 0000000000000000, 0
71, 10, 1111, 01, 0000000000000001, 1
72, 10, 1111, 01, 0000000000000010, 2
73, 10, 1111, 01, 0000000000000001, 1
74, 10, 1111, 01, 0000000000000000, 0
75, 10, 1111, 01, 0000000000000010, 2
76, 10, 1111, 01, 1111111111111111, -1
77, 10, 1111, 01, 0000000000000000, 0
78, 10, 1111, 01, 0000000000000010, 2
79, 10, 1111, 01, 0000000000000001, 1
80, 10, 1111, 01, 0000000000000001, 1
81, 10, 1111, 01, 0000000000000000, 0
82, 10, 1111, 01, 0000000000000000, 0
83, 10, 1111, 01, 0000000000000000, 0
84, 10, 1111, 01, 0000000000000001, 1
85, 10, 1111, 01, 1111111111111111, -1
86, 10, 1111, 01, 0000000000000000, 0
87, 10, 1111, 01, 0000000000000001, 1
88, 10, 1111, 01, 1111111111111111, -1
89, 10, 1111, 01, 0000000000000000, 0
90, 10, 1111, 01, 0000000000000011, 3
91, 10, 1111, 01, 0000000000000010, 2
92, 10, 1111, 01, 0000000000000001, 1
93, 10, 1111, 01, 1111111111111111, -1
94, 10, 1111, 01, 0000000000000001, 1
95, 10, 1111, 01, 0000000000000010, 2
96, 10, 1111, 01, 0000000000000001, 1
97, 10, 1111, 01, 0000000000000010, 2
98, 10, 1111, 01, 0000000000000001, 1
99, 10, 1111, 01, 0000000000000010, 2
100, 10, 1111, 01, 1111111111111111, -1
101, 10, 1111, 01, 0000000000000001, 1
102, 10, 1111, 01, 0000000000000000, 0
103, 10, 1111, 01, 0000000000000001, 1
104, 10, 1111, 01, 0000000000000001, 1
105, 10, 1111, 01, 0000000000000001, 1
106, 10, 1111, 01, 0000000000000011, 3
107, 10, 1111, 01, 0000000000000001, 1
108, 10, 1111, 01, 0000000000000000, 0
109, 10, 1111, 01, 0000000000000001, 1
110, 10, 1111, 01, 0000000000000010, 2
111, 10, 1111, 01, 0000000000000001, 1
112, 10, 1111, 01, 0000000000000010, 2
113, 10, 1111, 01, 0000000000000000, 0
114, 10, 1111, 01, 0000000000000001, 1
115, 10, 1111, 01, 1111111111111111, -1
116, 10, 1111, 01, 1111111111111111, -1
117, 10, 1111, 01, 0000000000000001, 1
118, 10, 1111, 01, 0000000000000000, 0
119, 10, 1111, 01, 0000000000000010, 2
120, 10, 1111, 01, 0000000000000000, 0
121, 10, 1111, 01, 0000000000000001, 1
122, 10, 1111, 01, 0000000000000000, 0
123, 10, 1111, 01, 0000000000000001, 1
124, 10, 1111, 01, 0000000000000000, 0
125, 10, 1111, 01, 0000000000000000, 0
126, 10, 1111, 01, 0000000000000001, 1
127, 10, 1111, 01, 0000000000000011, 3
128, 10, 1111, 01, 1111111111111111, -1
129, 10, 1111, 01, 1111111111111111, -1
130, 10, 1111, 01, 0000000000000001, 1
131, 10, 1111, 01, 1111111111111110, -2
132, 10, 1111, 01, 0000000000000001, 1
133, 10, 1111, 01, 0000000000000001, 1
134, 10, 1111, 01, 1111111111111111, -1
135, 10, 1111, 01, 1111111111111111, -1
136, 10, 1111, 01, 0000000000000000, 0
137, 10, 1111, 01, 0000000000000010, 2
138, 10, 1111, 01, 0000000000000001, 1
139, 10, 1111, 01, 0000000000000000, 0
140, 10, 1111, 01, 0000000000000000, 0
141, 10, 1111, 01, 1111111111111111, -1
142, 10, 1111, 01, 0000000000000000, 0
143, 10, 1111, 01, 1111111111111111, -1
144, 10, 1111, 01, 0000000000000001, 1
145, 10, 1111, 01, 0000000000000000, 0
146, 10, 1111, 01, 0000000000000001, 1
147, 10, 1111, 01, 0000000000000001, 1
148, 10, 1111, 01, 0000000000000011, 3
149, 10, 1111, 01, 0000000000000010, 2
150, 10, 1111, 01, 0000000000000000, 0
151, 10, 1111, 01, 0000000000000000, 0
152, 10, 1111, 01, 0000000000000000, 0
153, 10, 1111, 01, 0000000000000000, 0
154, 10, 1111, 01, 1111111111111111, -1
155, 10, 1111, 01, 0000000000000001, 1
156, 10, 1111, 01, 0000000000000001, 1
157, 10, 1111, 01, 0000000000000001, 1
158, 10, 1111, 01, 0000000000000000, 0
159, 10, 1111, 01, 1111111111111111, -1
160, 10, 1111, 01, 0000000000000010, 2
161, 10, 1111, 01, 1111111111111111, -1
162, 10, 1111, 01, 1111111111111111, -1
163, 10, 1111, 01, 1111111111111111, -1
164, 10, 1111, 01, 0000000000000000, 0
165, 10, 1111, 01, 0000000000000000, 0
166, 10, 1111, 01, 1111111111111111, -1
167, 10, 1111, 01, 0000000000000001, 1
168, 10, 1111, 01, 1111111111111111, -1
169, 10, 1111, 01, 0000000000000001, 1
170, 10, 1111, 01, 0000000000000000, 0
171, 10, 1111, 01, 0000000000000001, 1
172, 10, 1111, 01, 0000000000000001, 1
173, 10, 1111, 01, 0000000000000000, 0
174, 10, 1111, 01, 0000000000000000, 0
175, 10, 1111, 01, 0000000000000000, 0
176, 10, 1111, 01, 1111111111111111, -1
177, 10, 1111, 01, 0000000000000000, 0
178, 10, 1111, 01, 0000000000000000, 0
179, 10, 1111, 01, 1111111111111111, -1
180, 10, 1111, 01, 0000000000000001, 1
181, 10, 1111, 01, 0000000000000001, 1
182, 10, 1111, 01, 1111111111111111, -1
183, 10, 1111, 01, 0000000000000001, 1
184, 10, 1111, 01, 0000000000000001, 1
185, 10, 1111, 01, 1111111111111111, -1
186, 10, 1111, 01, 0000000000000001, 1
187, 10, 1111, 01, 0000000000000001, 1
188, 10, 1111, 01, 0000000000000000, 0
189, 10, 1111, 01, 0000000000000000, 0
190, 10, 1111, 01, 0000000000000010, 2
191, 10, 1111, 01, 0000000000000010, 2
192, 10, 1111, 01, 0000000000000001, 1
193, 10, 1111, 01, 0000000000000001, 1
194, 10, 1111, 01, 0000000000000001, 1
195, 10, 1111, 01, 0000000000000010, 2
196, 10, 1111, 01, 0000000000000010, 2
197, 10, 1111, 01, 0000000000000000, 0
198, 10, 1111, 01, 0000000000000001, 1
199, 10, 1111, 01, 1111111111111101, -3
200, 10, 1111, 01, 1111111111111111, -1
201, 10, 1111, 01, 0000000000000001, 1
202, 10, 1111, 01, 0000000000000010, 2
203, 10, 1111, 01, 0000000000000001, 1
204, 10, 1111, 01, 1111111111111111, -1
205, 10, 1111, 01, 0000000000000001, 1
206, 10, 1111, 01, 0000000000000000, 0
207, 10, 1111, 01, 0000000000000001, 1
208, 10, 1111, 01, 0000000000000001, 1
209, 10, 1111, 01, 0000000000000000, 0
210, 10, 1111, 01, 0000000000000000, 0
211, 10, 1111, 01, 0000000000000000, 0
212, 10, 1111, 01, 0000000000000000, 0
213, 10, 1111, 01, 0000000000000000, 0
214, 10, 1111, 01, 0000000000000001, 1
215, 10, 1111, 01, 0000000000000001, 1
216, 10, 1111, 01, 1111111111111111, -1
217, 10, 1111, 01, 0000000000000000, 0
218, 10, 1111, 01, 0000000000000001, 1
219, 10, 1111, 01, 0000000000000001, 1
220, 10, 1111, 01, 0000000000000001, 1
221, 10, 1111, 01, 0000000000000001, 1
222, 10, 1111, 01, 0000000000000000, 0
223, 10, 1111, 01, 0000000000000010, 2
224, 10, 1111, 01, 0000000000000001, 1
225, 10, 1111, 01, 0000000000000001, 1
226, 10, 1111, 01, 0000000000000010, 2
227, 10, 1111, 01, 0000000000000010, 2
228, 10, 1111, 01, 0000000000000000, 0
229, 10, 1111, 01, 0000000000000000, 0
230, 10, 1111, 01, 1111111111111111, -1
231, 10, 1111, 01, 0000000000000001, 1
232, 10, 1111, 01, 0000000000000001, 1
233, 10, 1111, 01, 0000000000000001, 1
234, 10, 1111, 01, 0000000000000010, 2
235, 10, 1111, 01, 0000000000000001, 1
236, 10, 1111, 01, 0000000000000010, 2
237, 10, 1111, 01, 0000000000000001, 1
238, 10, 1111, 01, 0000000000000010, 2
239, 10, 1111, 01, 0000000000000000, 0
240, 10, 1111, 01, 0000000000000011, 3
241, 10, 1111, 01, 0000000000000001, 1
242, 10, 1111, 01, 0000000000000001, 1
243, 10, 1111, 01, 0000000000000001, 1
244, 10, 1111, 01, 0000000000000001, 1
245, 10, 1111, 01, 0000000000000001, 1
246, 10, 1111, 01, 0000000000000001, 1
247, 10, 1111, 01, 0000000000000000, 0
248, 10, 1111, 01, 0000000000000001, 1
249, 10, 1111, 01, 0000000000000000, 0
250, 10, 1111, 01, 1111111111111110, -2
251, 10, 1111, 01, 1111111111111111, -1
252, 10, 1111, 01, 1111111111111111, -1
253, 10, 1111, 01, 1111111111111111, -1
254, 10, 1111, 01, 1111111111111111, -1
255, 10, 1111, 01, 1111111111111110, -2
256, 10, 1111, 01, 0000000000000001, 1
257, 10, 1111, 01, 1111111111111111, -1
258, 10, 1111, 01, 0000000000000010, 2
259, 10, 1111, 01, 0000000000000001, 1
260, 10, 1111, 01, 0000000000000001, 1
261, 10, 1111, 01, 0000000000000000, 0
262, 10, 1111, 01, 0000000000000000, 0
263, 10, 1111, 01, 1111111111111111, -1
